Core feature,count,mean,std,max,min
Fe02. STP Age,4-Apr,"16,5","3,51",20,13
Fe03. STP Size,4-Apr,524235,"672957,16",1500000,46940
Fe04. Companies,4-Apr,75,"49,4",125,16
Fe05. Turnover,4-Apr,"151,38","94,02","250,54",24
Fe06. Employment,4-Apr,"1146,5","393,31",1600,810
Fe07. International companies,4-Apr,"4,25","4,92",9,0
Fe08. Incubated companies,4-Apr,"15,5","11,9",29,0
Fe09. Average company size 1,4-Apr,"24,07","19,1","50,59","7,86"
Fe10. Average company size 2,4-Apr,"2,08","0,87","3,17","1,28"
Fe11. Internationalisation,4-Apr,"0,04","0,04","0,09",0
Fe12. Productivity,4-Apr,"0,14","0,12","0,3","0,03"
Fe13. Incubation ratio,4-Apr,"0,17","0,13","0,31",0
Fe14. Employment R&D,4-Apr,522,"301,02",765,105
Fe15. Investment R&D,4-Mar,"15,33","9,07",22,5
Fe16. Filed patents,4-Apr,2,"2,31",4,0
Fe17. Granted patents,4-Apr,2,"2,83",6,0
Fe18. Innovative profile 1,4-Apr,"0,44","0,22","0,62","0,13"
Fe19. Innovative profile 2,4-Mar,"0,14","0,06","0,21","0,09"
Fe20. Patents ratio 1,4-Apr,"0,03","0,04","0,07",0
Fe21. Patents ratio 2,4-Apr,"0,02","0,03","0,06",0
